source	target	sign
N0 N112 -
N0 N19 +
N0 N111 +
N1 N92 -
N1 N246 +
N1 N158 -
N1 N231 -
N2 N24 -
N2 N84 +
N3 N229 -
N4 N141 +
N5 N121 -
N5 N101 -
N5 N133 -
N6 N168 +
N6 N101 -
N6 N141 -
N7 N236 +
N7 N239 -
N8 N184 -
N8 N140 +
N8 N205 -
N9 N29 +
N9 N38 -
N10 N160 -
N10 N157 -
N10 N47 -
N11 N100 -
N11 N85 -
N12 N184 +
N12 N142 +
N13 N212 -
N13 N52 -
N14 N104 -
N14 N65 +
N14 N74 -
N14 N133 -
N14 N31 +
N15 N104 -
N15 N81 +
N16 N234 +
N16 N46 -
N17 N129 +
N17 N123 -
N17 N219 +
N17 N185 +
N18 N208 +
N18 N105 +
N20 N219 +
N20 N119 +
N21 N147 -
N22 N40 -
N22 N252 +
N22 N164 -
N23 N40 +
N23 N200 +
N23 N10 +
N23 N227 -
N24 N184 +
N24 N218 -
N24 N220 -
N24 N70 +
N24 N183 -
N25 N126 +
N26 N251 +
N26 N108 -
N26 N150 -
N26 N126 +
N28 N0 -
N28 N120 -
N28 N226 -
N28 N76 -
N28 N239 -
N29 N80 +
N29 N6 -
N30 N216 +
N30 N60 +
N30 N28 -
N30 N39 -
N31 N1 -
N31 N102 +
N31 N71 -
N32 N59 +
N32 N53 -
N33 N90 +
N33 N146 +
N33 N94 +
N34 N48 -
N34 N256 -
N34 N203 +
N34 N38 -
N34 N91 -
N34 N125 +
N35 N41 +
N35 N66 +
N35 N83 +
N35 N235 -
N35 N135 +
N36 N45 -
N37 N194 -
N38 N145 -
N38 N163 -
N38 N230 -
N38 N142 -
N39 N147 +
N39 N220 +
N39 N187 +
N39 N118 -
N39 N183 +
N40 N113 +
N40 N3 +
N40 N100 -
N40 N53 +
N40 N251 +
N40 N187 +
N41 N211 +
N42 N232 -
N42 N105 +
N42 N116 -
N42 N14 +
N42 N151 +
N43 N186 +
N43 N243 -
N43 N253 +
N44 N90 +
N44 N43 -
N44 N117 +
N44 N201 +
N45 N4 +
N45 N133 +
N45 N166 -
N45 N105 -
N45 N140 -
N45 N181 -
N46 N56 +
N47 N65 +
N47 N150 -
N47 N106 -
N47 N253 +
N47 N126 -
N47 N223 -
N48 N127 +
N49 N194 -
N49 N218 +
N49 N119 -
N50 N210 +
N50 N131 +
N50 N213 -
N50 N86 +
N50 N90 +
N50 N93 +
N51 N153 -
N51 N163 +
N51 N185 +
N51 N47 +
N52 N209 -
N52 N58 +
N52 N142 -
N52 N87 +
N53 N195 +
N53 N213 -
N54 N129 +
N54 N131 +
N54 N151 -
N54 N185 +
N54 N31 -
N55 N160 +
N55 N9 -
N55 N246 +
N55 N111 -
N56 N0 -
N56 N149 -
N57 N252 +
N58 N80 -
N58 N145 -
N58 N164 -
N58 N13 +
N58 N7 -
N59 N242 -
N59 N4 +
N59 N93 +
N59 N103 +
N60 N232 +
N60 N83 -
N60 N219 -
N61 N26 +
N61 N47 +
N61 N90 +
N61 N31 +
N62 N82 +
N62 N125 +
N62 N114 +
N62 N15 +
N63 N252 +
N64 N81 +
N64 N244 +
N64 N116 +
N64 N204 -
N65 N18 -
N65 N211 +
N66 N50 -
N66 N43 -
N66 N4 +
N67 N81 +
N67 N242 +
N67 N69 +
N67 N54 +
N67 N129 +
N67 N215 -
N67 N108 +
N69 N10 +
N69 N167 -
N69 N50 +
N69 N53 +
N70 N90 +
N70 N206 -
N71 N147 +
N71 N77 -
N71 N63 +
N72 N142 -
N73 N212 +
N73 N68 +
N73 N118 -
N74 N137 -
N74 N231 -
N75 N145 -
N75 N194 +
N75 N109 +
N76 N32 -
N76 N17 +
N76 N27 +
N76 N199 -
N77 N142 -
N78 N160 +
N78 N164 -
N78 N199 +
N79 N120 -
N79 N208 +
N79 N154 -
N79 N60 -
N80 N66 +
N80 N164 -
