source	target	sign
N0 N1002 -
N0 N2363 -
N2 N696 -
N3 N2890 -
N4 N458 -
N6 N133 -
N7 N370 +
N8 N3077 +
N9 N2634 +
N9 N1421 +
N9 N1423 +
N10 N2016 -
N10 N2460 -
N10 N1527 +
N11 N513 -
N11 N978 -
N11 N1594 -
N12 N1554 +
N13 N2553 -
N13 N2068 +
N14 N2557 -
N16 N2105 +
N16 N1002 +
N16 N2495 -
N17 N201 -
N17 N2227 +
N19 N1823 -
N20 N2607 +
N21 N1960 +
N22 N602 -
N22 N507 +
N22 N2822 +
N22 N2606 -
N22 N3069 +
N23 N828 +
N23 N3021 +
N24 N2337 -
N24 N1042 +
N24 N590 +
N24 N1191 +
N25 N1128 +
N25 N2372 -
N25 N940 -
N26 N160 +
N26 N2683 -
N26 N3276 -
N26 N599 -
N27 N401 -
N27 N2546 -
N28 N464 +
N29 N291 +
N29 N2901 -
N29 N47 -
N30 N857 -
N30 N3043 +
N30 N1637 +
N31 N349 -
N31 N639 +
N32 N2563 +
N32 N999 +
N33 N2628 +
N33 N2742 +
N34 N2036 -
N34 N2067 -
N34 N148 -
N34 N1719 +
N35 N2259 +
N35 N207 +
N36 N1673 -
N36 N378 +
N36 N1492 -
N37 N712 -
N39 N2548 -
N39 N1108 -
N39 N1375 -
N40 N1520 -
N41 N489 -
N41 N3267 +
N41 N1937 -
N42 N2026 +
N42 N2285 +
N43 N2968 -
N43 N2401 +
N43 N653 -
N44 N1546 -
N45 N1354 -
N45 N372 -
N45 N3277 +
N45 N2319 -
N47 N113 +
N47 N3151 +
N47 N361 -
N48 N98 +
N50 N2409 -
N51 N1942 -
N52 N2045 +
N53 N1481 +
N53 N2996 -
N53 N2310 -
N54 N2741 +
N54 N2023 +
N56 N2627 +
N56 N2701 -
N56 N510 +
N57 N1512 -
N57 N2281 -
N57 N582 -
N58 N211 +
N58 N1397 -
N58 N1607 +
N59 N1600 -
N60 N25 +
N60 N3255 +
N60 N2605 +
N60 N1953 -
N61 N1177 -
N61 N1994 +
N61 N1307 +
N61 N1036 -
N61 N270 -
N62 N1967 -
N63 N2542 +
N64 N2230 -
N65 N1765 +
N66 N2313 +
N67 N1324 +
N69 N2624 -
N69 N1907 -
N69 N3206 +
N69 N2009 -
N69 N2073 -
N69 N1355 +
N70 N2312 +
N70 N3144 -
N70 N1157 +
N70 N2397 +
N71 N1060 -
N72 N2193 +
N73 N278 +
N75 N1386 +
N75 N684 +
N77 N2020 -
N77 N1236 -
N77 N2613 +
N78 N1984 +
N78 N3148 +
N78 N2573 -
N79 N2937 +
N79 N138 +
N79 N36 +
N79 N2902 -
N80 N1768 -
N80 N1309 -
N81 N1051 -
N81 N717 -
N81 N2141 -
N82 N3066 +
N82 N985 +
N82 N546 -
N82 N61 -
N83 N748 +
N87 N2592 +
N87 N651 +
N87 N2431 -
N88 N547 +
N89 N2441 -
N89 N1391 -
N89 N2630 +
N89 N887 +
N90 N3321 -
N90 N10 -
N90 N587 +
N90 N2450 +
N90 N2415 -
N91 N1971 -
N91 N1345 +
N91 N1131 +
N91 N1187 +
N91 N447 -
N92 N930 +
N92 N2198 -
N93 N2099 -
N93 N889 +
N93 N1507 +
N93 N2963 -
N94 N2977 +
N94 N1793 +
N94 N69 +
N94 N581 -
N95 N2173 +
N95 N3349 -
N96 N392 -
N96 N2184 +
N97 N2550 -
N98 N492 +
N98 N2645 +
N99 N2001 +
N99 N350 +
N99 N1815 +
N99 N3225 -
N99 N1181 -
N99 N750 +
N100 N116 +
N101 N1909 -
N101 N878 +
N101 N1919 -
N102 N2967 -
N102 N2079 -
N103 N1620 +
N104 N673 +
N104 N2274 +
N104 N1124 +
N104 N407 +
N105 N201 -
N106 N2424 +
N106 N2327 +
N107 N3304 -
N108 N1530 -
N108 N2055 +
N110 N203 +
N110 N1686 -
N110 N1639 -
N112 N1096 +
N112 N2434 +
N112 N2055 +
N114 N836 -
N114 N166 -
N115 N289 +
N115 N2054 +
N116 N2088 +
N116 N2948 -
N117 N2776 -
N118 N1328 -
N118 N3308 +
N119 N822 -
N120 N2671 +
N120 N955 +
N120 N3346 +
N120 N2126 +
N120 N1031 -
N121 N550 -
N121 N2519 +
N122 N1593 -
N122 N171 +
N122 N1197 -
N123 N336 +
N123 N1484 +
N123 N183 +
N124 N2211 -
N125 N2376 +
N126 N1856 -
N127 N1938 -
N128 N721 -
N128 N1903 +
N129 N456 +
N129 N1266 +
N129 N363 +
N130 N735 -
N131 N255 +
N132 N1082 -
N132 N3029 -
N133 N583 -
N135 N1681 +
N136 N330 +
N137 N1488 -
N137 N3304 +
N137 N788 -
N140 N1384 -
N140 N1842 -
N140 N35 +
N140 N668 +
N140 N3306 +
N141 N801 +
N141 N1695 +
N141 N831 +
N142 N3277 +
N142 N591 -
N143 N2498 +
N145 N922 +
N146 N1944 -
N146 N2505 +
N146 N3229 -
N146 N1806 +
N147 N2380 -
N148 N678 -
N149 N828 +
N149 N1046 -
N150 N2159 -
N151 N602 -
N151 N2051 -
N151 N3006 +
N153 N443 -
N154 N2100 +
N155 N2194 -
N155 N6 +
N156 N1939 +
N157 N1173 +
N157 N286 -
N158 N2273 +
N158 N181 -
N158 N2621 -
N159 N86 +
N160 N1892 +
N161 N1487 -
N162 N91 -
N162 N139 -
N164 N2101 +
N164 N1476 +
N164 N1854 +
N164 N518 -
N164 N1862 +
N165 N429 -
N166 N3051 -
N167 N512 -
N167 N3211 -
N167 N2831 +
N168 N384 +
N168 N2261 +
N168 N1991 +
N169 N545 -
N169 N1827 -
N169 N1108 +
N169 N2951 -
N169 N154 +
N169 N2126 -
N172 N2544 -
N172 N1084 +
N173 N1924 -
