source target
DMN_HUMAN DESM_HUMAN
LSM4_HUMAN LSM3_HUMAN
LSM4_HUMAN LSM5_HUMAN
LSM4_HUMAN LSM8_HUMAN
LSM4_HUMAN RUXE_HUMAN
LSM4_HUMAN LSM7_HUMAN
LSM4_HUMAN LSM6_HUMAN
LSM4_HUMAN LSM1_HUMAN
TOPK_HUMAN CCNB1_HUMAN
TOPK_HUMAN ARAF_HUMAN
TOPK_HUMAN RAF1_HUMAN
CD2_HUMAN CD4_HUMAN
MEF2C_HUMAN MEF2D_HUMAN
SNTA1_HUMAN NOS1_HUMAN
SNTA1_HUMAN CNKR2_HUMAN
SNTA1_HUMAN MAST1_HUMAN
BIG1_HUMAN BIG2_HUMAN
FBX34_HUMAN SKP1_HUMAN
TAOK1_HUMAN MP2K3_HUMAN
TAOK1_HUMAN MARK1_HUMAN
M3K12_HUMAN MP2K4_HUMAN
M3K12_HUMAN M3K11_HUMAN
M3K12_HUMAN MP2K7_HUMAN
CSK2B_HUMAN MK14_HUMAN
CSK2B_HUMAN KPCZ_HUMAN
CSK2B_HUMAN CSK21_HUMAN
CSK2B_HUMAN CSK22_HUMAN
CSK2B_HUMAN ARAF_HUMAN
CSK2B_HUMAN CHK1_HUMAN
NXT1_HUMAN NXF2_HUMAN
NXT1_HUMAN NXF1_HUMAN
NXT1_HUMAN NXF3_HUMAN
MMP14_HUMAN MMP2_HUMAN
MMP14_HUMAN FA12_HUMAN
MMP14_HUMAN TIMP3_HUMAN
MMP14_HUMAN TIMP2_HUMAN
MMP14_HUMAN MMP13_HUMAN
MMP14_HUMAN TIMP4_HUMAN
TBL1X_HUMAN COR2A_HUMAN
TBL1X_HUMAN TBL1R_HUMAN
MINK1_HUMAN CSKI1_HUMAN
NDK3_HUMAN NDKA_HUMAN
NDK3_HUMAN NDKB_HUMAN
CANB1_HUMAN PPIA_HUMAN
CANB1_HUMAN PP2BA_HUMAN
CANB1_HUMAN CABP2_HUMAN
CEBPE_HUMAN DDIT3_HUMAN
CEBPE_HUMAN CEBPD_HUMAN
TRAF5_HUMAN TRAF3_HUMAN
TRAF5_HUMAN TRI37_HUMAN
TRAF5_HUMAN UBP7_HUMAN
CCL22_HUMAN CCL19_HUMAN
FBX18_HUMAN SKP1_HUMAN
FBX18_HUMAN CUL1_HUMAN
PLRG1_HUMAN PRP19_HUMAN
TLR6_HUMAN TLR2_HUMAN
FBXL3_HUMAN SKP1_HUMAN
TFR2_HUMAN HFE_HUMAN
ASCL1_HUMAN ITF2_HUMAN
ASCL1_HUMAN NGN2_HUMAN
KCNG3_HUMAN KCNB1_HUMAN
KCNG3_HUMAN KCNF1_HUMAN
KCNG3_HUMAN KCNC1_HUMAN
SUMO1_HUMAN SENP2_HUMAN
SUMO1_HUMAN SENP6_HUMAN
SUMO1_HUMAN TDG_HUMAN
CAP2_HUMAN CAP1_HUMAN
APOA_HUMAN LRP2_HUMAN
APOA_HUMAN ELNE_HUMAN
APOA_HUMAN APOH_HUMAN
APOA_HUMAN FBLN5_HUMAN
APOA_HUMAN ELA1_HUMAN
M3K8_HUMAN MP2K4_HUMAN
M3K8_HUMAN BMPR2_HUMAN
M3K8_HUMAN NFKB2_HUMAN
M3K8_HUMAN NFKB1_HUMAN
M3K8_HUMAN KSR2_HUMAN
M3K8_HUMAN AKT1_HUMAN
M3K8_HUMAN M3K14_HUMAN
M3K8_HUMAN IKKA_HUMAN
UB2D2_HUMAN NEDD4_HUMAN
UB2D2_HUMAN PJA1_HUMAN
UB2D2_HUMAN DTX3L_HUMAN
UB2D2_HUMAN CBL_HUMAN
UB2D2_HUMAN RNF11_HUMAN
UB2D2_HUMAN AMFR2_HUMAN
PTPRF_HUMAN FYN_HUMAN
PTPRF_HUMAN TRIO_HUMAN
PTPRF_HUMAN LCK_HUMAN
PTPRF_HUMAN INSR_HUMAN
PTPRF_HUMAN PTPRD_HUMAN
PTPRF_HUMAN RET_HUMAN
HXD13_HUMAN MEIS1_HUMAN
GRB7_HUMAN EGFR_HUMAN
GRB7_HUMAN PGFRB_HUMAN
GRB7_HUMAN RET_HUMAN
GRB7_HUMAN ERBB2_HUMAN
GRB7_HUMAN TIE2_HUMAN
GRB7_HUMAN ERBB3_HUMAN
