source target sign
MED31 cdc2c -
MED31 MED7 +
MED31 Kr-h1 -
MED31 Caf1 -
MED31 MED17 +
Rrp4 Rrp46 +
Rrp4 NFAT -
Rrp4 Dis3 +
Rrp4 mus304 +
Rrp4 Mtr3 +
Not1 skpA +
Not1 skpB +
Not1 CG3605 -
Not1 CG14207 +
Not1 mnb +
Not1 hop -
CG8888 CG10425 +
CG8888 asf1 -
awd Pdi -
awd RpS21 -
awd eIF-5A -
awd Fkbp13 -
awd capt +
awd regucalcin -
awd CG10638 -
awd TER94 +
awd CG13560 +
awd RpS16 -
awd Akap200 +
Pros26.4 Prosbeta2 +
Pros26.4 CSN4 +
Pros26.4 Tm2 -
Pros26.4 Rpn3 +
Pros26.4 Prosbeta7 +
Pros26.4 Rpt1 +
Pros26.4 Rpt3 +
Pros26.4 Prosalpha5 +
Pros26.4 Rpn6 +
Pros26.4 CG15440 +
Pros26.4 Hrb98DE -
Pros26.4 Rpt4 +
Pros26.4 CG17568 +
Pros26.4 Pomp +
Pros26.4 Rpn9 +
Pros26.4 Rpn1 +
Pros26.4 Prosalpha1 +
Pros26.4 CG17331 +
Pros26.4 Pros35 +
Pros26.4 Pros45 +
Pros26.4 Prosbeta5 +
Pros26.4 Prosbeta3 +
Pros26.4 Pros29 +
Pros26.4 CG2064 +
Pros26.4 Rpn2 +
Pros26.4 Rpn11 +
Pros26.4 mts +
Pros26.4 Tbp-1 +
Pros26.4 CG9624 +
Pros26.4 Pros25 +
Pros26.4 Tcp-1zeta +
Pros26.4 Rpn7 +
Pros26.4 ATPsyn-beta +
Pros26.4 Prosalpha7 +
Pdsw CG1970 +
RpII33 Wnt2 +
RpII33 C15 +
CanB2 CG6996 -
CanB2 Prosalpha5 +
CanB2 skl +
CanB2 NFAT +
CanB2 CG34404 +
CanB2 raw -
CanB2 twin +
CanB2 Stat92E +
Np Rab5 -
Np ran -
Np ptc -
Np S6kII -
Np CG33017 +
atms Rtf1 +
atms hyx +
atms RpII215 +
atms Rac1 +
atms sesB -
atms cnk -
Eip55E RpS2 -
Eip55E Chro +
Mi-2 e(y)1 +
Mi-2 l(1)G0020 +
Mi-2 CG6197 -
Mi-2 Mlc1 -
Mi-2 RpL23 +
Mi-2 ttk +
Mi-2 cactin -
Rpn11 Spindly +
Rpn11 CG17331 +
Rpn11 Rpn3 +
Rpn11 Prosbeta7 +
Rpn11 Prosbeta5 +
Rpn11 D19A -
Rpn11 Pros29 +
Rpn11 Pros35 +
Rpn11 Mov34 +
Rpn11 ci -
Rpn11 Arf79F -
Rpn11 Rpn12 +
Rpn11 Prm +
Rpn11 Pros25 +
Rpn11 Pros54 +
Rpn11 Rpn1 +
PHDP CkIIbeta +
PHDP Taf10b -
PHDP opa -
PHDP twin +
PHDP Abl -
PHDP CG11267 +
PHDP CG3225 +
Kr-h1 CG9797 +
Kr-h1 Srp54 +
Kr-h1 grp -
Kr-h1 RpA-70 +
Kr-h1 Vps20 +
Kr-h1 Arpc1 +
Kr-h1 U2af38 +
Kr-h1 Mical +
Kr-h1 pzg +
Nipped-A RpII33 -
Nipped-A fz4 +
Nipped-A par-1 +
sesB CG4169 +
sesB Ssu72 -
Uba1 CG2807 -
Uba1 Pk17E -
e(y)2 Pcaf +
e(y)2 tkv -
e(y)2 akirin +
e(y)2 Nipped-A +
e(y)2 Pitslre -
e(y)2 Hrb27C +
wntD fz2 +
wntD ctp +
wntD 26-29-p +
wntD fz +
wntD fz4 +
wntD fz3 +
por CG8247 -
por Wnt6 +
por Wnt2 +
por wg +
por dysb -
por Taf4 -
por wntD +
por Wnt10 +
por CkIIalpha-i3 +
por Wnt5 +
CG8636 eIF3-S10 +
CG8636 Tango7 +
CG8636 eIF3-S9 +
CG8636 eIF6 +
CG8636 eIF3-S8 +
CG8636 CG7757 -
CG8636 ND75 +
CG8636 CG9769 +
CG8636 CG3731 +
Tor Rpn11 +
Tor RpL19 +
CG43729 sisA +
CG43729 CG15631 -
CG43729 RpS21 +
CG43729 CycC -
CG43729 sns +
CG43729 Tektin-C -
CG43729 Rap2l -
CG43729 Pk92B +
Mbs slmb +
Mbs Nup358 -
Mbs e(r) -
Mbs kdn -
snRNP-U1-C SmD3 +
snRNP-U1-C CG5854 +
snRNP-U1-C CG4849 +
snRNP-U1-C SmD2 +
snRNP-U1-C sns +
snRNP-U1-C CG11327 -
snRNP-U1-C SmG +
babo mus304 -
babo CG9986 +
babo Pk92B +
babo Smox +
Doa CG11266 -
Doa lwr -
Doa U2af50 +
Doa CG6227 +
Doa toy +
Doa mnb +
Doa ATPsyn-beta -
e(r) fz +
e(r) Mkk4 -
e(r) CG8888 +
e(r) RpS24 +
e(r) gro +
CG34168 Prosbeta3 +
CG34168 Vsx2 -
CG34168 Smn +
CG3523 MRP -
CG3523 lwr +
CG3523 Tcp-1eta +
CG3523 CG6370 +
CG3523 Arr1 +
CG3523 Gfat2 +
CG3523 Pp2A-29B -
CG3523 CG11885 +
CG3523 Mst98Ca +
CG3523 Rpn1 +
CG3523 CG33303 +
RpL24 CycC -
RpL24 CG1785 +
RpL24 Dis3 +
star1 CG1324 +
star1 spi +
star1 CtBP -
star1 Rab7 +
star1 ball -
CG7203 T-cp1 +
CG7203 CG17732 -
CG7203 CSN3 +
CG7203 Prosbeta5 +
CG31036 CG7357 +
CG31036 Caf1 +
CG31036 Traf-like +
CG31036 CkIIalpha-i3 -
CG31036 vig +
CG31036 CG8368 +
CG31036 wdb -
ninaE Arr1 +
ninaE CycJ -
ninaE RpL5 -
ninaE aru -
ninaE CG42613 +
ninaE Gbeta76C +
ran Rab5 +
ran Nup358 +
ran Tcp-1eta -
ran CG10306 +
ran Fs(2)Ket +
skap CG4169 -
skap CG33303 +
skap Eaf -
skap Gfat2 +
skap flr +
skap eEF1delta +
skap Droj2 -
DMAP1 gw -
DMAP1 CG2070 -
DMAP1 Srp54 -
RpL35A star1 -
RpL35A blw +
RpL35A skpA -
RpL35A Scamp -
RpL35A Cas -
RpL35A CG3847 +
RpL35A Rpt1 -
