source         target         sign
Rheb           TfIIFalpha     +
lkb1           TfIIFalpha     +
Rheb           TfIIFbeta      +
Pdk1           TfIIFbeta      +
chico          TfIIFbeta      +
gig            TfIIFbeta      -
Pten           Rpd3           -
lkb1           Rpd3           +
Tsc1           Rpd3           +
Akt1           Rpd3           +
gig            Rpd3           -
S6kII          Caf1           -
B4             Caf1           -
Tsc1           Caf1           +
Pdk1           Caf1           -
Akt1           Caf1           -
lkb1           Sin3A          -
sima           Sin3A          -
Rheb           CG3605         +
Pten           CG3605         -
S6kII          CG3605         +
Pi3K92E        CG3605         +
lkb1           CG3605         +
chico          CG3605         +
gig            CG3605         -
Tsc1           CG2807         +
gig            CG2807         +
Pi3K92E        CG6418         -
Tsc1           CG6418         +
Tsc1           CG13900        -
B4             Spx            +
lkb1           Spx            +
Tsc1           Spx            +
sima           Spx            +
Pten           Rpd3           -
lkb1           Rpd3           +
Tsc1           Rpd3           +
Akt1           Rpd3           +
gig            Rpd3           -
S6kII          Smr            +
Tsc1           Smr            +
lkb1           Sin3A          -
sima           Sin3A          -
S6kII          Caf1           -
B4             Caf1           -
Tsc1           Caf1           +
Pdk1           Caf1           -
Akt1           Caf1           -
Pten           MTA1-like      +
Tsc1           MTA1-like      +
Pdk1           MTA1-like      -
Pten           Rpd3           -
lkb1           Rpd3           +
Tsc1           Rpd3           +
Akt1           Rpd3           +
gig            Rpd3           -
rictor         CoRest         +
Rheb           Mi-2           +
B4             Mi-2           -
Pi3K92E        Mi-2           -
Pdk1           Mi-2           +
chico          Mi-2           +
dm             Mi-2           +
S6kII          Act5C          -
B4             Act5C          -
lkb1           Act5C          +
S6k            Act5C          -
chico          Act5C          -
gig            Act5C          -
dm             Act5C          -
S6k            Act42A         -
Pten           Rpd3           -
lkb1           Rpd3           +
Tsc1           Rpd3           +
Akt1           Rpd3           +
gig            Rpd3           -
Rheb           Mi-2           +
B4             Mi-2           -
Pi3K92E        Mi-2           -
Pdk1           Mi-2           +
chico          Mi-2           +
dm             Mi-2           +
Rheb           alphaTub84D    +
Pten           alphaTub84D    -
lkb1           alphaTub84D    +
Tsc1           alphaTub84D    -
Pdk1           alphaTub84D    +
gig            alphaTub84D    -
dm             alphaTub84D    -
Rheb           betaTub97EF    +
Thor           betaTub60D     +
Tsc1           betaTub60D     -
Pdk1           betaTub60D     +
dm             betaTub60D     +
Rheb           betaTub56D     +
Pten           betaTub56D     -
lkb1           betaTub56D     +
Pdk1           betaTub56D     +
chico          betaTub56D     +
gig            betaTub56D     -
Rheb           Trip1          +
rictor         Trip1          +
sima           Trip1          +
Rheb           CG8636         +
lkb1           CG8636         +
Pdk1           CG8636         +
sima           CG8636         +
Thor           eIF3-S9        +
Rheb           eIF3-S9        +
lkb1           eIF3-S9        +
sima           eIF3-S9        +
Rheb           eIF3-S8        +
sima           eIF3-S8        +
Thor           eIF3-S10       +
Rheb           eIF3-S10       +
B4             eIF3-S10       -
lkb1           eIF3-S10       +
sima           eIF3-S10       +
melt           eIF3-S10       -
dm             eIF3-S10       +
Tsc1           osa            -
Pdk1           osa            +
rictor         brm            +
foxo           brm            -
gig            brm            +
Tsc1           Snr1           -
Pdk1           Snr1           +
gig            Snr1           -
Pten           Bap55          -
foxo           Bap55          +
lkb1           Bap55          -
gig            Bap55          +
rictor         dalao          +
Rheb           mor            +
foxo           mor            -
Pten           Rpd3           -
lkb1           Rpd3           +
Tsc1           Rpd3           +
Akt1           Rpd3           +
gig            Rpd3           -
S6kII          Caf1           -
B4             Caf1           -
Tsc1           Caf1           +
Pdk1           Caf1           -
Akt1           Caf1           -
Pten           MTA1-like      +
Tsc1           MTA1-like      +
Pdk1           MTA1-like      -
B4             14-3-3epsilon  -
sima           14-3-3epsilon  -
gig            14-3-3epsilon  -
Pdk1           CG7911         -
Pten           14-3-3zeta     -
lkb1           14-3-3zeta     +
gig            14-3-3zeta     -
Tsc1           Snr1           -
Pdk1           Snr1           +
gig            Snr1           -
Pi3K92E        Iswi           -
Tsc1           osa            -
Pdk1           osa            +
rictor         brm            +
foxo           brm            -
gig            brm            +
Rheb           mor            +
foxo           mor            -
rictor         dalao          +
Pten           Bap55          -
foxo           Bap55          +
lkb1           Bap55          -
gig            Bap55          +
Rheb           pont           +
rictor         pont           +
Pten           pont           -
Pi3K92E        pont           -
lkb1           pont           -
sima           pont           -
Pten           14-3-3zeta     -
lkb1           14-3-3zeta     +
gig            14-3-3zeta     -
B4             14-3-3epsilon  -
sima           14-3-3epsilon  -
gig            14-3-3epsilon  -
Thor           Hsp83          +
Rheb           Hsp83          +
foxo           Hsp83          -
S6kII          Hsp83          +
Pdk1           Hsp83          +
Akt1           Hsp83          +
chico          Hsp83          +
dm             Hsp83          +
rictor         gammaCOP       +
sima           gammaCOP       +
Pten           beta'COP       -
Tsc1           beta'COP       -
Pdk1           beta'COP       +
sima           beta'COP       +
S6k            beta'COP       +
S6k            deltaCOP       +
Rheb           betaCOP        +
Rheb           alphaCOP       +
Pten           alphaCOP       -
Tsc1           alphaCOP       -
Pdk1           alphaCOP       +
sima           alphaCOP       +
Akt1           alphaCOP       +
S6k            alphaCOP       +
rictor         brm            +
foxo           brm            -
gig            brm            +
S6kII          Caf1           -
B4             Caf1           -
Tsc1           Caf1           +
Pdk1           Caf1           -
Akt1           Caf1           -
Rheb           Mi-2           +
B4             Mi-2           -
Pi3K92E        Mi-2           -
Pdk1           Mi-2           +
chico          Mi-2           +
dm             Mi-2           +
Pten           Rpd3           -
lkb1           Rpd3           +
Tsc1           Rpd3           +
Akt1           Rpd3           +
gig            Rpd3           -
Rheb           mor            +
foxo           mor            -
Pi3K92E        Pvr            +
Pten           cindr          +
gig            cindr          +
Rheb           qkr58E-2       -
Tsc1           qkr58E-2       +
Pdk1           qkr58E-2       -
Pten           qkr58E-3       -
Tsc1           qkr58E-3       -
gig            qkr58E-3       -
dm             qkr58E-3       +
Pten           qkr58E-1       -
gig            qkr58E-1       -
Rheb           RpL8           +
rictor         RpL8           +
B4             RpL8           -
Tsc1           RpL8           +
Pdk1           RpL8           +
sima           RpL8           +
S6kII          eIF6           +
Pdk1           CG8801         +
Rheb           RpL17          +
S6kII          RpL17          -
sima           RpL17          +
S6k            RpL17          -
Rheb           RpL5           +
Pten           RpL5           -
B4             RpL5           -
Pdk1           RpL5           +
sima           RpL5           +
Rheb           RpL3           +
rictor         RpL3           +
foxo           RpL3           -
B4             RpL3           -
lkb1           RpL3           -
Tsc1           RpL3           +
S6k            RpL3           -
Rheb           Ns1            +
sima           Ns1            +
Rheb           RpL7A          +
rictor         RpL7A          +
Pdk1           RpL7A          +
melt           RpL7A          -
chico          RpL7A          +
gig            RpL7A          -
lkb1           RpL23          -
Pdk1           RpL23          +
sima           RpL23          +
Thor           CG4364         -
Pten           CG4364         -
Pdk1           CG4364         +
gig            CG4364         -
Thor           RpL4           +
Rheb           RpL4           +
rictor         RpL4           +
Pten           RpL4           +
S6kII          RpL4           -
B4             RpL4           -
lkb1           RpL4           +
Tsc1           RpL4           +
Pdk1           RpL4           +
Pten           wds            -
Pdk1           wds            +
Rheb           RpL35A         +
S6kII          RpL35A         -
sima           RpL35A         +
Rheb           Ns2            +
Pdk1           Ns2            +
Pi3K92E        Pvr            +
Thor           Hsp83          +
Rheb           Hsp83          +
foxo           Hsp83          -
S6kII          Hsp83          +
Pdk1           Hsp83          +
Akt1           Hsp83          +
chico          Hsp83          +
dm             Hsp83          +
Thor           Hsp83          +
Rheb           Hsp83          +
foxo           Hsp83          -
S6kII          Hsp83          +
Pdk1           Hsp83          +
Akt1           Hsp83          +
chico          Hsp83          +
dm             Hsp83          +
