source target sign
LanB2 ns1 -
Gr2a CG6441 +
Gr2a VhaPPA1-1 +
Gr2a ras +
CG18343 PebII -
CG18343 Fancd2 -
CG14207 CG11583 -
dah BM-40-SPARC +
dah BubR1 -
dah rump -
dah CG7324 +
Gnf1 CG6996 -
Gnf1 CanB2 +
Gnf1 CG7011 +
rev7 CG8036 -
rev7 Stat92E -
rev7 CG7277 -
rev7 CG11586 +
Rop CG15529 -
Rop CG17816 -
Rop Mcm3 +
Rop CG10262 +
ial CG31102 +
mol dsx -
mol CanB2 +
l(1)G0136 CaBP1 -
l(1)G0136 Mad +
ns2 CG7638 -
ns2 TppII +
Mis12 Elongin-B -
ru numb -
ru CkIalpha +
ru CG12289 -
ru RpS14b -
rump nopo -
rump sec63 -
Wwox CG11107 +
Wwox wisp -
Wwox CG10092 +
CG7054 CG17855 +
CG7054 sw +
Mes2 woc -
Mes2 rump +
Cdk8 CG9184 -
Cdk8 CG17032 +
Cdk8 thetaTry +
Cdk8 eIF-4a +
Cdk8 Gpdh -
CG42575 RpS16 -
CG42575 Vti1 -
rap Smyd4 -
rap kz +
Rpd3 Fas1 -
Rpd3 Wnt10 +
Pk34A whd -
CG1461 Art7 +
CG1461 CG8155 +
CG1461 Syx5 -
drk CG7180 +
CG6498 CG8740 -
CG6498 Pp2A-29B -
CG6498 eIF-2gamma -
mit(1)15 Argk +
mit(1)15 CG17778 +
mit(1)15 e(y)2 +
sinah CG5432 +
sinah Sas +
CG7548 Acon +
CG7548 Map205 -
CG7548 LanA -
Mfe2 Myb +
Arp3 CG31954 -
Arp3 CG1561 -
Arp3 Git -
Arp3 Prosbeta2R2 +
Arp3 blanks -
CG4365 CG6506 -
CG7518 Cpr92A +
CG7518 Acn -
CG7518 dimm +
CG8636 CG8145 +
Pp4-19C Rbp1 -
Pp4-19C CG1970 -
Pp4-19C Su(H) +
CG14818 fru +
UbcD10 CG6353 -
UbcD10 vig -
UbcD10 Gem2 -
UbcD10 RpII15 +
Nxt1 p24-1 +
Nxt1 Tequila +
Nxt1 Vps25 -
sgg CG12256 +
sgg CG8083 +
sgg mRpL22 +
CG4936 Prosbeta5 -
RpL10Ab CG30344 +
RpL10Ab CG8230 +
coil CG10417 +
coil GstE6 +
Pde9 Vha36-2 -
by CG1513 -
by Nipped-B -
by HLHm3 -
by pic +
CG32687 CG13900 +
CG32687 CG32486 +
CG32687 opa +
RpS19b B52 -
RpS19b nvy +
Pp2B-14D az2 +
Ssadh sar1 -
Ssadh bun +
Ssadh CG13474 -
Dll Brf -
Dll CG32344 +
CG15099 CycT -
CG32694 phyl +
CG32694 CG6770 -
CG32694 emb +
sog CG10189 -
RpL27 CG10710 -
fliI CG14151 +
fliI SmD3 +
fliI lwr +
CG31368 CG8701 -
cm CG17002 -
cm CG13894 -
cm Df31 +
CG13405 pyd +
Rheb CG6426 -
CG6470 Karybeta3 -
ci arm +
ci CG43427 -
CG14414 CG3703 -
CG14414 cup +
Pen CG1750 +
Pen gukh +
Pen Uba2 -
CG1599 Taf8 +
Myt1 CG6227 +
Myt1 CG13298 +
Myt1 grk +
asp sesB +
asp CG7011 -
Nup358 scw -
ppan CG6126 -
ppan Usp7 -
ppan Mad +
ppan svr -
CG14427 CycC +
CG14427 p53 +
CG14427 CG15153 +
woc CG9715 -
woc alphaKap4 +
CG6724 Ubqn -
CG6724 ninaE -
CG6724 esn +
CG6724 CG4901 +
CG7335 Pp1-13C -
CG7335 nxf2 -
CG7335 CG17599 +
fdl skd -
fdl Smox -
Tim8 CG11672 +
G9a Mio +
G9a CG40127 -
G9a CG11498 -
CG9173 mars +
Sucb Nat1 +
Snap twin -
CG3419 Pp2C1 -
CG3419 Pros28.1 +
CG3419 CG13993 +
CG1885 CG4168 -
CG1885 CG42271 +
CG1885 Eap +
Prosbeta7 sec23 +
cib Arpc3A -
cib dome +
cib GstT4 -
Mlc2 CG7386 -
Mlc2 N -
Npl4 TBPH -
Npl4 CG9099 -
Mal-A1 FKBP59 +
CG14073 l(3)mbt +
CG3224 RpII215 +
CG3224 dimm +
CG13319 CG14722 +
CG13319 lqfR -
CG11674 larp -
CG11674 CG1492 +
CG11674 Fur1 -
CG7324 lic -
CG7324 Trn +
CG7324 Tm1 +
Spn CG4119 -
Spn CG4365 -
Snx1 for +
Snx1 GstE10 +
Snx1 cib -
ato CG8483 -
Nop17l whd +
PHGPx Tsp42Ef -
CG6766 mit(1)15 -
Rrp40 Listericin +
Pros26.4 CG10014 +
CG15814 Mcm5 -
Sc2 aret +
Roc1a CG8636 +
puc dos -
puc CG12725 -
dally Plc21C -
dally CG10333 +
IntS1 LSm1 -
CG13510 CG14921 +
l(2)35Df trx +
Dat Socs36E -
Dat CG30054 +
Bap CG13041 +
nej MBD-R2 +
nej dm +
nej Nat1 +
CG32068 CG31211 +
CG32068 Vps20 -
sfl Aats-met +
sfl CG7191 +
Actn gsb -
Kat60 CG15814 +
Ir56b ftz -
Ir56b sec71 +
Ir56b CG15071 +
Tango6 puc +
Tango6 RpL13A +
Tango6 stops +
Tango6 Abi -
CG11723 mRpS17 -
CG11723 CG8232 -
CG11723 Nufip -
CG11723 crol +
mTTF Pgd +
mTTF CG7197 +
mTTF Bx +
CG18004 spri +
CG18004 RpL10Ab -
CG15127 Gbeta13F -
CG30054 mip130 +
CG30054 CG9143 -
hig lok +
hig Vha36-1 +
Bub1 chico -
Bub1 Strn-Mlck -
Bub1 rn -
Bub1 RagA +
Mes4 CG15099 -
Prosbeta2R2 wde -
l(1)G0334 Neto -
l(1)G0334 gnu +
eIF-4B fz4 +
gus CG32137 -
gus Sh -
CstF-50 CG4119 -
CstF-50 Jon25Bi -
CG13083 Slc45-1 +
CG13083 CG32812 +
CycT CG15124 -
CycT Eip55E +
Trf2 CG15814 -
Cyp6a2 Mcm2 +
Cyp6a2 CG8564 +
Cyp6a2 Trf2 +
Chd3 CG11885 +
Chd3 Cdc37 +
Pp1-13C dsx +
CG2691 LanB2 -
CG2691 CG6083 +
Sfmbt RpS21 +
Atg18 CG17912 -
Atg18 CG6996 +
CG8944 nocte -
hdc opa -
hdc CG16817 -
hdc icln +
hdc Traf4 +
Sh CG10466 -
Sh CG13928 +
Sh CkIIalpha-i3 +
CG11885 Hrb98DE -
Ntf-2 Myt1 +
Alr CG17803 +
Alr Ire1 +
CG12203 CG4364 +
CG18135 Brf -
CG10139 Treh +
CG10139 CG18812 +
CG15578 CG43896 +
CG15578 Kat60 +
CycK CG31694 -
nec CG5359 -
CG10077 CG1371 +
CG10077 Acsl -
CG10077 mRNA-cap -
Alas Or33a +
Alas Vps35 -
Set E5 +
Set CG5500 +
Hrb27C RpL36A +
Su(fu) CG6084 +
Su(fu) CG7339 -
CG7409 Apc +
wech CG42369 +
wech CG9624 -
CG8927 djl +
CG8927 CG14869 -
CG8927 CG3708 -
CG8927 eIF-3p66 -
CG5773 inv +
CG31482 CG34354 -
CG31482 mRpL44 +
ref(2)P CG12079 +
ref(2)P CG17327 +
CG1077 RpL4 +
CG1077 CG14767 -
CG1077 CG34382 -
CG42674 CG8436 +
CG6972 CG1024 +
insc CG7368 +
insc CG9920 -
CG9967 Pitslre -
CG9967 CG14220 +
wupA Rab11 -
wupA Trx-2 +
twe cry +
tor CG7668 +
TSG101 1-Sep -
TSG101 CG10341 +
porin sqd +
porin pUf68 +
CG33109 CG14568 -
mRpL1 CAP -
Muc4B CG32581 +
Mov34 S6k -
CG13041 Scamp -
Wnt5 rap +
CG3511 dmrt11E -
CG3511 Gint3 +
CG3511 epsilonTry -
CG8021 PHGPx -
CG8021 l(2)37Cc +
CG8021 mRpL30 +
CG8021 tud -
CG14989 CG14568 +
Cdk4 CG8378 +
CtBP CG6523 +
CtBP CG8620 -
wdn Mst84Db -
wdn zetaTry -
wdn CG6333 -
wdn Pif1A -
wdn topi +
wdn RpL10Aa -
MED8 CG6617 -
MED8 pigeon -
CanA-14F pit +
CanA-14F par-1 -
CanA-14F Glycogenin +
CanA-14F stops +
CG11586 MED15 +
CG11586 egg +
CG11586 CG13733 -
CG11586 Hsc70-1 +
CG17599 Pp1-13C -
CG17599 cnc -
CG17599 gem -
CG7231 RPA2 +
l(1)10Bb CG10479 -
l(1)10Bb CG15800 -
CG13868 AGO1 +
sls CG3625 +
sls bru-3 +
sls CG17672 -
eIF2B-beta Clp -
eIF2B-beta e(y)3 -
eIF2B-beta Srp54 +
HDAC6 Pp1-Y1 -
HDAC6 Ulp1 +
HDAC6 CG2865 -
CG9143 Pp1alpha-96A -
CG9143 Act79B -
CG9143 bab2 -
term Myb +
term ed +
dgt2 fzy -
ash2 Fancd2 +
ash2 CG5846 -
ash2 tth +
ash2 Lip3 +
ash2 Or22a +
wcd Cg25C +
wcd CG8064 +
CG13605 MED26 -
cup Ykt6 -
Ilp1 Cpr76Bb -
CG1746 CG7402 +
CG32138 lin-52 -
CG32138 fu -
CG32138 CG5280 +
CG15167 Jon25Bi -
CG15167 CG31813 -
put Gadd34 +
put Orc1 -
flw Su(H) +
CG9522 CG5009 +
CG9522 CG4328 +
Trip1 CG14414 -
Trip1 CG7357 +
Trip1 CG3618 +
scyl Epac +
scyl Mtr3 -
scyl rdgC -
scyl CG13220 +
scyl CG10425 +
MED28 CG33156 +
RluA-1 CG4415 -
CG16812 CG3731 +
Dr Unr +
Dr mRpS10 -
OS9 dao +
OS9 Dap160 +
srpk79D msl-2 +
srpk79D Hsc70-2 +
fz4 ptip +
CG18600 qkr58E-2 +
