source target sign
CG16812 CG4936 +
gammaSnap Syx8 -
gammaSnap Sec22 -
gammaSnap foi -
gammaSnap Bet1 -
gammaSnap Gos28 -
gammaSnap CG6763 +
gammaSnap Use1 +
Tsp42Ef CG8219 -
Hsc70-1 ns1 +
Hsc70-1 Hsc70-2 +
Hsc70-1 CG10887 +
fz3 wg -
cry tim -
MRG15 mts -
MRG15 Vha55 +
MRG15 CG42674 +
MRG15 Atg4 +
MRG15 nwk +
MRG15 PSR +
CG14427 Zasp66 +
Nek2 pUf68 -
CG15440 CG7878 -
CG15440 RpS30 +
CG15440 HLH4C -
CG15440 kay +
CG15440 26-29-p -
Pp2A-29B CSN3 +
Pp2A-29B Nf-YA +
CG10005 CG18745 -
ird5 Tsc1 -
ird5 cact -
CG1785 CG4364 +
CG1785 Mat89Ba +
CG1785 CG6937 +
CG1785 ppan +
emb MRP -
emb Scamp -
emb Karybeta3 +
emb Sec61alpha -
Rca1 CG14151 -
Rca1 CG13133 -
Rca1 GstE10 +
Rca1 Taf11 +
Rca1 olf413 -
Rca1 betaggt-II -
Rca1 RpS10b +
Rca1 Syt1 +
NT1 yellow-g -
rl hyd +
rl Lk6 +
rl Hsc70-4 +
rl gw +
rl S6kII +
rl pnt +
rl Syp +
rl PTP-ER -
rl Act5C +
rl mask +
rl Cf2 -
rl Dsor1 +
rl lkb1 +
rl gig -
rl brm -
rl aop -
rl Hsp68 +
rl kay +
rl CalpB -
rl pav +
rl Hsc70-2 -
rl Hsc70-5 -
rl cindr -
rl T-cp1 +
rl CG1678 +
rl cic +
rl CG5004 -
Adam cnc -
Stam hop +
Ald Eno +
Ald Fkbp13 +
Ald wupA -
Ald up +
Ald Argk +
Ald CG16826 +
Ald Spindly +
Ald mus209 +
Ald awd -
Ald CG5500 +
Ald TpnC41C +
Ald CG31343 +
Ald TER94 +
crn CG9667 +
crn CG4849 +
crn l(1)10Bb +
crn SmD2 +
crn Nufip -
crn CG6197 +
crn CG11107 -
crn CG6290 +
crn nopo +
crn Prp8 +
crn CG13900 +
crn gnu -
crn Tango4 +
crn Bx42 +
crn CG3436 +
crn Kap-alpha1 +
crn CG6905 +
crn CG6015 +
crn CG3605 +
crn RpS15 +
crn SmD3 +
CG13617 akirin -
AnnIX AnnX +
mad2 Mhcl -
mad2 CG15475 -
mad2 Doa +
mad2 fzr2 -
mad2 Hsc70-4 +
mad2 rap -
mad2 SmB +
CG11586 RpL5 -
CG11586 Rap2l +
CG11586 RpL19 -
Shroom CG17327 +
Shroom RpS19a +
Shroom eIF-4a +
CG32809 CG9293 +
CG32809 Pif1A +
CG32809 dysb +
nopo raps +
Sld5 CG7386 +
Sld5 Psf1 +
Sld5 Psf3 +
Sld5 Psf2 +
Sld5 Taf1 +
CG3295 Atpalpha +
CG13032 dysb -
CG13032 Tk -
CG13032 blw +
CG42319 Mbs +
Prosalpha6T Prosbeta1 +
Prosalpha6T Prosbeta7 +
Prosalpha6T Pros54 +
CG4709 CG7757 -
G-oalpha47A dsh +
Vha26 VhaSFD +
CG11563 CG17803 +
CG11563 CG17568 -
Rab11 Dl +
Rab11 betaTub56D +
Rab11 CG12404 +
disp hh +
aos Egfr -
aos spi -
Fs(2)Ket Nxt1 +
Fs(2)Ket Kap-alpha3 +
Fs(2)Ket sbr +
Fs(2)Ket RanGap +
Fs(2)Ket CG9723 +
Hcf Rpt1 +
prod CG2652 +
prod CG7967 +
MED28 MED6 +
MED28 MED17 +
l(3)neo43 pUf68 +
CG31550 LS2 +
ago CG9894 +
ago Hsc70-4 -
ago e(r) +
ago CycE -
ago RpL7A -
ago RpS5a -
ago dm -
ago raw -
ago lin19 +
ago RpLP0 -
ago RpS2 -
bsk Pros26.4 -
bsk SmD3 +
cdc2 Tcp-1zeta +
cdc2 Cctgamma -
cdc2 Arpc1 -
cdc2 RpL19 +
cdc2 CG7033 +
cdc2 Cdk4 +
cdc2 CG3925 -
cdc2 Arp2 +
cdc2 Orc1 +
cdc2 Cct5 +
cdc2 CycK -
cdc2 Cks30A -
cdc2 CycE +
cdc2 ATPsyn-d +
cdc2 Pros26.4 +
cdc2 CG9821 +
cdc2 Orc2 +
cdc2 wee -
cdc2 twe +
Ip259 CG8939 +
Ip259 CG32344 +
Ip259 CG6937 +
Ip259 Surf6 +
Ip259 l(1)G0020 +
pros mira +
pros brat +
pros insc -
Bap60 CG9331 -
Bap60 Ef1alpha48D +
Bap60 mor +
Bap60 MED11 -
Bap60 mts +
Bap60 CG32479 -
Bap60 Nat1 +
Bap60 RpL13 +
Bap60 akirin +
Bap60 CG11505 +
Bap60 Arp8 -
Bap60 Thiolase +
Bap60 Nurf-38 +
Bap60 Bap55 +
Bap60 Chc +
Bap60 CG8368 +
Bap60 CG17002 +
Bap60 CG34404 -
Atg4 Tap42 +
CG5642 eIF3-S10 +
CG5642 l(1)G0136 -
CG5642 RpS3 +
Lam RpA-70 +
Lam spheroide +
Lam RPA2 +
Syx5 Syx1A +
Syx5 Ykt6 +
Syx5 Use1 +
Syx5 Slh +
Syx5 Snap +
Syx5 Syx18 +
Pcd tobi +
CG17737 eIF3-S8 +
CG14968 CG16817 -
CG11674 Ubqn +
Bet3 Bet5 +
Bet3 CG7461 +
mars Pp1-87B +
GEFmeso ctp +
GEFmeso wah -
GEFmeso CG8860 -
GEFmeso Kebab +
Bap55 DMAP1 +
Bap55 MED14 -
CG4169 Pp2A-29B +
CG1789 Max +
CG1789 Mys45A +
CG1789 Sas10 +
CG4364 CG9986 +
CG4364 star1 -
tmod SH3PX1 -
tmod N +
tmod lwr -
Dip3 Fer3HCH +
Dip3 rev7 -
Dip3 lwr +
sesB CG4169 +
sesB cpb -
Uba3 Cul-3 +
CG13560 CG3808 -
CG13560 CG31211 +
CG13560 Doa -
CG13560 Srp54 -
CG5802 MED4 +
CG4884 CG13148 -
emc CG7849 +
Shc CG3689 +
Efa6 danr +
Efa6 Taf1 -
dalao mor +
dalao Bap55 +
dalao Nat1 -
dalao z -
Hn CG8036 -
bip2 Taf10 +
bip2 Jra -
bip2 Taf10b +
bip2 bab2 +
B52 Hsc70-1 +
B52 Arpc1 +
B52 Trn-SR +
RpL6 Snp -
snRNP-U1-70K pUf68 +
snRNP-U1-70K CG4119 +
snRNP-U1-70K SmD2 +
snRNP-U1-70K CG7971 -
snRNP-U1-70K snRNP-U1-C +
Eaf fs(1)h +
Eaf CG34420 +
Eaf lola +
Eaf Taf10b +
Eaf CG13511 +
Eaf Ald +
Eaf mrn +
Eaf dl -
Eaf CG11138 -
Eaf opa +
CG9692 CG2116 -
Scp2 AP-1gamma +
Scp2 CG1970 -
Scp2 HLH4C -
Scp2 CG9609 -
Scp2 CG6770 -
nct Psn +
mip130 Myb +
mip130 lin-52 +
CG16979 resilin -
CG16979 PGRP-LA -
RpL39 CG7379 +
CG31663 CG8298 +
CG31663 CG5568 +
CG31663 Taf6 -
Pi3K92E Rac1 +
Pi3K92E Pdk1 +
CG31029 CG8786 -
CG5525 CG5854 -
CG5525 Tcp-1eta +
Neto alien +
Neto CG8378 +
Neto CG6770 -
Neto gsb +
Neto aru -
Neto KLHL18 +
Bx Chi +
CG14323 CG31211 +
CG14323 Srp54 -
CG7185 MED7 -
CG7185 ptip +
CG7185 MED27 -
CG7185 MED10 -
CG7185 MED17 -
CG7185 ZAP3 -
CG7185 CG34159 +
CG7185 CG32479 +
star1 spi +
star1 eIF-2gamma -
star1 CtBP -
Vha44 Droj2 +
spheroide Oscillin -
RfC4 RfC3 +
RfC4 RfC38 +
Atg8b Atg7 +
vap Ras85D +
Socs36E hop -
Ulp1 Arp3 +
CG11885 Pros29 -
CG11885 dl -
CG11885 Pros35 -
CG11885 CG17331 -
CG11885 CalpB +
e(y)1 Rfabg +
e(y)1 Taf6 +
Vps20 CG8038 +
Vps20 ATPsyn-b +
CG32016 RpS8 +
CG32016 RpL15 +
CG32016 Mpcp +
CG32016 Dll -
eIF2B-beta Ada2b +
RpL10 Sec16 +
RpL10 nAcRalpha-96Ab -
Ubqn TwdlL -
Ubqn RpS27A +
Ubqn row +
Ubqn nxf2 +
Ubqn geminin +
Ubqn eff +
Ubqn TwdlM +
yellow-g Pomp +
Prosbeta7 CG5009 -
Prosbeta7 Pros29 +
Prosbeta7 eIF3-S8 +
Prosbeta7 Pros35 +
arr CG42788 +
Tm2 ATPsyn-Cf6 +
Tm2 CoIV +
Tm2 CG7920 +
Tm2 ATPsyn-b +
Tm2 CG4692 +
Tm2 Nc73EF +
Cand1 Sc2 +
Cand1 CG6370 +
CG10324 Srp54 +
CG10324 l(2)37Cb +
CG10324 CG5808 +
eIF-3p40 eIF3-S9 +
eIF-3p40 Int6 +
eIF-3p40 eIF3-S10 +
14-3-3zeta Oatp26F -
14-3-3zeta yki +
14-3-3zeta 14-3-3epsilon +
mRpL39 RpL3 +
qkr58E-2 CG6701 +
qkr58E-2 CG4612 +
stumps Hsc70-4 +
stumps Hr39 +
stumps CG7920 +
stumps lwr +
stumps hay -
stumps tum -
stumps Cdep -
stumps Eps-15 +
stumps CG10189 -
dsh sgg -
dsh N -
Ilp1 InR +
CG1620 CG8745 -
NC2alpha Gapdh1 +
CG10154 RpL15 +
Hrb27C CG4617 +
Hrb27C CG9008 +
Hrb27C C15 +
Hrb27C CtBP +
Sap47 Rbp4 -
snRNP-U1-C SmG +
snRNP-U1-C SmD2 +
snRNP-U1-C SmD3 +
CG33017 Ssdp +
CG33017 CG9850 +
sec5 zormin -
sec5 Pax +
sec5 RpL37a -
RpS16 dl +
RpS16 CG9416 -
RpS16 CG6357 -
Patronin RpS16 -
Patronin CG5375 +
l(2)03709 CG5174 +
l(2)03709 CG11779 +
l(2)03709 Sply +
l(2)03709 Rpn11 +
l(2)03709 Rab11 +
CG10510 bic +
CG10510 ATPsyn-d +
CG4119 CG3542 +
CG4119 pUf68 +
phyl CG3847 +
phyl Hsp83 +
phyl betaTub56D +
phyl RpS3 +
phyl Rab11 +
CG16896 CG2678 -
fne Spx +
fne CG11266 -
mbo dysb +
mbo MED4 +
RpS20 HP1e -
RpS20 Dref +
RpS20 metro -
RpS20 CG7967 -
RpS20 adat -
RpS20 GEFmeso -
RpS20 imd -
betaCop CG3523 +
betaCop Kap-alpha3 +
betaCop Rpn1 +
CG15423 sav +
CG13627 CG6905 -
CG13627 Hsc70-4 -
az2 CG18745 +
az2 Nup358 +
az2 lwr +
az2 CG7112 +
Akap200 Chd64 -
RpS5a Snp -
RpS5a Aats-glupro +
RpS5a skap +
RpS5a Spindly +
lok Syp +
lok SmG -
lok nito -
lok Srp54 -
ana2 Cen -
msd5 fau +
msd5 NaCP60E -
CG8065 CG8235 +
CG8065 CG9986 +
Ilp3 InR +
mTTF alphaTub84B -
CG14803 eIF-4a -
CG32432 sl +
CG8564 pygo +
CG8636 Tango7 +
CG8636 eIF3-S9 +
