source target sign
N0 N1458 +
N0 N1258 -
N1 N382 -
N1 N2247 +
N2 N498 +
N2 N2415 +
N3 N1921 +
N3 N2637 +
N4 N2512 -
N4 N1398 +
N5 N1783 -
N5 N2575 +
N6 N2579 +
N6 N1039 +
N7 N442 -
N7 N1125 +
N8 N666 -
N8 N1567 -
N9 N3072 -
N9 N1239 +
N10 N2389 +
N10 N2614 +
N11 N1237 -
N11 N1439 +
N12 N2769 -
N12 N2263 +
N13 N1862 -
N13 N895 +
N14 N1789 -
N14 N686 +
N15 N1651 -
N15 N3071 +
N16 N1314 +
N16 N765 -
N17 N510 +
N17 N3046 +
N18 N3120 -
N18 N1095 +
N19 N513 -
N19 N819 -
N20 N905 +
N20 N1194 +
N21 N986 +
N21 N111 +
N22 N420 +
N22 N1709 +
N23 N3162 +
N23 N2311 -
N24 N2166 +
N24 N3191 +
N25 N2228 +
N25 N636 +
N26 N1064 +
N26 N3125 -
N27 N2652 -
N27 N270 +
N28 N1466 -
N28 N2077 +
N29 N456 -
N29 N490 -
N30 N2869 +
N30 N2246 -
N31 N1162 -
N31 N1997 +
N32 N472 -
N32 N3090 +
N33 N184 +
N33 N3316 -
N34 N2059 +
N34 N1062 -
N35 N2745 -
N35 N398 +
N36 N185 -
N36 N2758 -
N37 N459 -
N37 N1950 -
N38 N1529 -
N38 N1311 +
N39 N280 +
N39 N1726 -
N40 N1659 -
N40 N3198 +
N41 N1560 -
N41 N2333 -
N42 N1214 +
N42 N1343 -
N43 N2840 -
N43 N2293 +
N44 N218 +
N44 N2284 -
N45 N441 -
N45 N519 -
N46 N3052 -
N46 N190 -
N47 N1568 +
N47 N913 +
N48 N3140 -
N48 N3222 +
N49 N1780 +
N49 N838 +
N50 N1400 -
N50 N1050 +
N51 N1738 +
N51 N859 -
N52 N220 -
N52 N1631 +
N53 N2755 +
N53 N2276 -
N54 N3124 -
N54 N846 -
N55 N130 -
N55 N2412 -
N56 N3024 -
N56 N1214 -
N57 N2632 +
N57 N485 +
N58 N2832 +
N58 N3272 +
N59 N1680 -
N59 N2901 -
N60 N2258 -
N60 N2610 +
N61 N2168 -
N61 N2028 -
N62 N2089 -
N62 N3117 +
N63 N563 +
N63 N3235 +
N64 N488 +
N64 N2431 +
N65 N2292 -
N65 N1567 -
N66 N1516 -
N66 N1389 -
N67 N505 -
N67 N942 +
N68 N1425 +
N68 N2972 -
N69 N2625 +
N69 N2478 +
N70 N3179 -
N70 N188 -
N71 N272 +
N71 N3193 +
N72 N1816 -
N72 N206 -
N73 N1379 +
N73 N293 -
N74 N1363 +
N74 N2582 +
N75 N3092 -
N75 N1716 +
N76 N2725 -
N76 N1110 -
N77 N1024 +
N77 N927 +
N78 N3010 -
N78 N238 -
N79 N1717 +
N79 N1655 -
N80 N2553 -
N80 N1011 +
N81 N241 -
N81 N814 +
N82 N1628 +
N82 N2205 -
N83 N240 -
N83 N849 -
N84 N2345 -
N84 N427 +
N85 N184 +
N85 N1906 +
N86 N2611 -
N86 N2412 -
N87 N896 +
N87 N1774 -
N88 N1136 -
N88 N590 -
N89 N1768 +
N89 N2735 -
N90 N1160 -
N90 N1815 +
N91 N347 +
N91 N3172 +
N92 N2396 +
N92 N2405 +
N93 N2641 -
N93 N730 -
N94 N2716 -
N94 N590 -
N95 N1659 +
N95 N1804 +
N96 N1314 -
N96 N195 +
N97 N364 -
N97 N2045 -
N98 N2217 -
N98 N1924 +
N99 N2478 +
N99 N2559 +
N100 N1378 -
N100 N1940 -
N101 N2891 +
N101 N103 +
N102 N2505 -
N102 N2082 +
N103 N1909 -
N104 N1877 +
N104 N1871 +
N105 N1786 -
N105 N2372 +
N106 N1968 +
N106 N3017 -
N107 N2592 -
N107 N2649 +
N108 N2821 -
N108 N2294 -
N109 N2634 +
N109 N758 -
N110 N2896 +
N110 N615 +
N111 N2120 +
N112 N3308 -
N112 N1078 +
N113 N2953 -
N113 N3021 +
N114 N2609 +
N114 N225 +
N115 N3240 +
N115 N2839 -
N116 N1433 -
N116 N2420 -
N117 N1901 -
N117 N293 +
N118 N2208 +
N118 N2124 -
N119 N2360 -
N119 N2793 -
N120 N1297 -
N120 N2866 +
N121 N2653 -
N121 N422 -
N122 N890 -
N122 N1795 +
N123 N124 -
N123 N2741 +
N124 N3002 -
N125 N1232 +
N125 N1414 -
N126 N3248 -
N126 N848 +
N127 N2289 -
N127 N203 -
N128 N2673 +
N128 N1447 -
N129 N394 +
N129 N1487 +
N130 N3323 +
N131 N3100 -
N131 N3054 -
N132 N1508 -
N132 N2070 -
N133 N2037 -
N133 N1797 -
N134 N1625 -
N134 N2262 -
N135 N661 +
N135 N725 +
N136 N1438 +
N136 N175 +
N137 N1035 +
N137 N2310 +
N138 N2677 -
N138 N951 -
N139 N2955 -
N139 N3334 -
N140 N2088 -
N140 N2790 -
N141 N3170 -
N141 N2531 -
N142 N2929 +
N142 N763 +
N143 N2480 -
N143 N2808 -
N144 N1033 +
N144 N625 +
N145 N519 -
N145 N1391 -
N146 N1482 -
N146 N1102 -
N147 N2589 +
N147 N1855 -
N148 N2900 -
N148 N582 +
N149 N2019 +
N149 N3203 +
N150 N2013 -
N150 N733 +
N151 N648 +
N151 N1919 +
N152 N837 +
N152 N302 +
N153 N1857 +
N153 N2922 -
N154 N3145 -
N154 N295 +
N155 N3184 +
N155 N2419 -
N156 N2995 +
N156 N366 -
N157 N2249 +
N157 N466 -
N158 N2634 +
N158 N869 +
N159 N2253 -
N159 N493 -
N160 N376 +
N160 N3066 +
N161 N1508 +
N161 N2532 -
N162 N3177 +
N162 N933 -
N163 N1920 -
N163 N1607 -
N164 N1546 +
N164 N2602 +
N165 N1929 -
N165 N2413 +
N166 N2809 +
N166 N2586 +
N167 N458 -
N167 N1515 +
N168 N1052 +
N168 N1437 +
N169 N1377 -
N169 N417 +
N170 N2497 -
N170 N866 -
N171 N1474 -
N171 N1229 +
N172 N1040 -
N172 N192 -
N173 N1027 +
N173 N1900 +
N174 N2250 -
N174 N1343 -
N175 N517 +
N176 N1888 -
N176 N1145 +
N177 N2331 -
N177 N2789 -
N178 N2100 +
N178 N1421 -
N179 N3237 -
N179 N3111 +
N180 N3052 +
N180 N3014 -
N181 N1960 +
N181 N3223 -
N182 N2041 -
N182 N1898 -
N183 N832 -
N183 N1030 -
N185 N2906 +
N186 N2566 +
N186 N2790 -
N187 N2904 +
N187 N2575 +
N188 N1401 -
N189 N2996 -
N189 N2365 -
N190 N2170 -
N191 N541 -
N191 N1045 -
N192 N2231 -
N193 N2593 -
N193 N2545 +
N194 N2905 +
N194 N1098 +
N195 N1639 -
N196 N893 +
N196 N1031 +
N197 N1320 -
N197 N2267 -
N198 N1424 -
N198 N1632 -
N199 N360 +
N199 N343 +
N200 N1432 +
N200 N3316 +
N201 N3349 +
N201 N567 -
N202 N1940 +
N202 N1871 -
N203 N996 +
N204 N3130 -
N204 N3043 +
N205 N1202 +
N205 N837 +
N206 N295 +
N207 N2057 -
N207 N3028 -
N208 N2968 -
N208 N2233 -
N209 N360 -
N209 N1965 -
N210 N2737 +
N210 N1994 +
N211 N1586 -
N211 N2525 -
N212 N588 +
N212 N612 +
N213 N1016 -
N213 N2914 +
N214 N2584 +
N214 N413 -
N215 N1061 +
N215 N303 +
N216 N994 +
N216 N3259 +
N217 N3313 -
N217 N2518 -
N218 N2146 +
N219 N2255 +
N219 N479 -
N220 N3298 +
N221 N2717 -
N221 N406 -
N222 N481 +
N222 N1412 +
N223 N2171 -
N223 N1030 +
N224 N572 -
N224 N1572 -
N225 N2465 -
N226 N1249 +
N226 N1247 +
N227 N2490 +
N227 N2179 -
N228 N2105 -
N228 N2891 -
N229 N1993 +
N229 N1149 -
N230 N1658 -
N230 N3214 +
N231 N2817 -
N231 N683 +
N232 N1307 -
N232 N1190 +
N233 N3104 +
N233 N1441 -
N234 N2050 -
N234 N1666 +
N235 N2282 +
N235 N2702 -
N236 N3108 -
N236 N2678 -
N237 N2393 +
N237 N2195 +
N238 N1729 +
N239 N2866 -
N239 N2172 +
N240 N3148 -
N241 N1213 -
N242 N2069 -
N242 N2326 +
N243 N2040 -
N243 N1373 +
N244 N1536 +
N244 N2529 +
