source target sign
TfIIEbeta CG3894 +
Cpr66Cb Rcd1 +
Crk C3G +
Crk Cas +
CG2107 CG3605 +
sxc Irbp +
sxc Zasp66 +
ple Ald +
ple dre4 +
Hcf SPoCk -
CG7033 Rpt4 +
CG5514 CG8665 +
CG5514 Tim8 -
CG5514 CG2812 +
Ddr BI-1 +
Ddr CG17470 -
CG15745 aop +
CG15745 wech +
ash2 tou -
CG4858 CG18812 -
Atpalpha Sap47 -
Atpalpha CG32428 -
Atpalpha CG13617 +
CG34383 wit -
pea PR2 -
pea RpL36A +
pea sav +
Oatp26F fdl -
Oatp26F Spn42De +
kuz CG13220 +
kuz corn +
Clic CG5044 +
Clic kermit -
Clic Mcm5 +
CG4957 Zif +
CG4957 glo +
MED31 y +
Nbr CG12104 +
how brp +
how shakB +
how Lcp65Ag3 +
CG11777 CG14712 -
CG9692 CG13813 +
Topors CG13625 -
Topors msl-2 -
Topors Top1 -
Pros25 Pros29 +
Su(P) CG8866 +
Ect4 mRpL24 -
sas-6 Nbr +
sas-6 CG4887 -
CG10158 Cpr66Cb -
CG10158 Wwox -
scw gbb +
scw CG31708 +
scw CG7556 -
RfC38 LanB2 +
RfC38 CG10289 -
RfC38 Tbp +
nxf2 CG6333 +
nxf2 Cp36 +
ome CG17816 +
ome PGRP-LC +
ome Lcp65Ag3 +
CG4962 Rfabg +
CG4962 mol -
CG4962 CG31156 +
usnp CG2807 +
CG1271 Shroom +
CG30158 CG2453 +
CG30158 CG10089 -
CG30158 CG12012 -
Aats-asn clu +
CG7028 Uch-L3 -
l(1)G0004 CG2972 +
l(1)G0004 gho +
CG8508 oys -
CG17260 CG2065 +
CG17260 CG1635 -
asp AttA +
garz Gsc +
garz CG15631 -
garz CG3703 +
Arpc4 cpa -
Arpc4 srpk79D +
per cyc -
per Clk -
CG3493 Buffy +
Marf CG7231 +
Marf wech -
Dcp1 Got2 +
Dcp1 CG2685 -
VhaPPA1-1 ras -
grk ImpE1 +
grk CG7196 +
grk betaCop -
grk Pros28.1 +
CG8142 Ku80 +
CG13894 uzip -
CG13894 Cdc6 +
CG13894 BM-40-SPARC -
CG32432 CG13144 -
CG32432 sl +
CG32432 RluA-2 +
G9a CG6498 +
G9a Cyp6t3 +
pallidin CG9418 +
pallidin mus304 +
pallidin Art7 +
pallidin Stam -
tub Doc1 -
CG11298 CG12428 -
CG11298 Cpr97Eb +
CG11298 ial +
RpL11 CG17568 +
CG3542 CG5514 +
CG3542 CG6686 +
mtrm CG32354 +
mtrm CG5026 +
mtrm Patronin +
CG2246 Su(fu) -
CG2246 Obp99d +
CG2246 CG6767 +
cyc Mlc2 +
CG4896 RpL14 -
CG4896 Arf79F -
CG4896 raps -
CG4896 Plap +
CG34112 CG7218 -
ClC-b CG30440 -
ClC-b Ppn +
Adk2 Egm +
Adk2 CG43783 +
CG14543 Cenp-C -
CG14543 CG8336 +
Sas His3.3B +
Sas Gsc +
flr bab2 +
Drep-4 ash2 -
koko CG6996 +
CG34120 CG11727 +
