source	target	sign
N0 N3017 -
N0 N1582 -
N0 N1023 +
N1 N1983 -
N2 N2248 +
N2 N3268 -
N2 N692 +
N3 N136 -
N4 N972 -
N4 N2271 +
N5 N1439 -
N6 N2906 +
N7 N1661 +
N7 N934 +
N9 N1659 -
N9 N2647 +
N10 N1262 +
N11 N105 +
N11 N2603 -
N11 N2630 +
N12 N1086 -
N13 N3039 +
N14 N2917 -
N16 N888 +
N17 N2194 +
N17 N2366 +
N18 N1954 +
N19 N3247 -
N21 N330 -
N21 N2165 +
N22 N315 -
N23 N113 -
N23 N2345 -
N24 N1539 -
N24 N1251 -
N24 N405 +
N25 N771 -
N25 N979 -
N26 N1305 -
N26 N3071 -
N26 N1951 -
N28 N1950 +
N29 N1117 -
N29 N1511 +
N31 N884 +
N31 N383 +
N32 N2400 -
N32 N2521 +
N32 N2508 -
N32 N2817 -
N32 N2703 -
N33 N2614 -
N33 N822 +
N33 N2821 -
N35 N1305 -
N35 N650 -
N35 N2313 +
N37 N601 -
N37 N597 +
N37 N2551 -
N38 N803 +
N38 N3277 +
N39 N465 -
N39 N659 +
N39 N2517 -
N39 N134 +
N40 N2809 +
N40 N2802 -
N40 N2645 -
N42 N100 -
N43 N2106 +
N44 N2596 -
N44 N2773 -
N44 N2959 +
N45 N1217 +
N45 N2356 -
N45 N1030 -
N47 N2093 -
N48 N2377 +
N49 N2387 -
N49 N2765 -
N50 N2233 +
N50 N538 -
N50 N1429 +
N51 N3123 -
N51 N1567 +
N52 N2571 -
N52 N68 -
N53 N3333 +
N55 N2511 +
N56 N483 -
N56 N1421 +
N56 N2310 -
N56 N2637 +
N57 N2216 -
N57 N3329 -
N57 N1021 -
N57 N1247 +
N58 N962 +
N58 N3046 +
N59 N232 -
N59 N1802 -
N60 N2526 -
N61 N1930 +
N61 N451 +
N62 N992 -
N62 N3153 +
N62 N2469 -
N63 N2916 -
N63 N1010 -
N63 N1683 -
N63 N1836 -
N64 N1018 -
N64 N1277 -
N64 N2743 -
N65 N2576 +
N65 N3225 -
N65 N3155 +
N65 N1076 -
N65 N2487 -
N66 N3051 -
N66 N1575 +
N67 N1726 +
N67 N399 -
N68 N369 +
N68 N35 -
N68 N2020 -
N68 N3043 -
N69 N72 -
N69 N1363 -
N69 N3140 +
N69 N2342 -
N70 N1952 +
N70 N3074 -
N70 N276 +
N71 N2546 -
N71 N3052 +
N72 N1426 -
N72 N254 +
N74 N1515 +
N75 N2992 +
N75 N2427 +
N75 N1855 -
N75 N775 -
N76 N1752 -
N76 N1126 +
N77 N1731 -
N78 N2647 -
N79 N1716 -
N79 N1133 +
N80 N1028 +
N80 N1982 +
N80 N86 +
N81 N2426 +
N81 N267 +
N81 N1103 +
N82 N3033 +
N83 N1364 -
N83 N989 -
N84 N1880 +
N84 N458 +
N84 N628 +
N84 N3162 +
N87 N3290 +
N87 N35 -
N88 N1060 -
N89 N1248 -
N90 N3032 -
N90 N314 +
N90 N2850 -
N91 N1529 +
N91 N2270 -
N92 N800 -
N92 N1693 -
N92 N2373 -
N93 N2329 +
N93 N3266 +
N93 N386 +
N96 N2784 -
N96 N3298 -
N96 N1455 -
N97 N1700 +
N97 N1981 +
N97 N1663 -
N98 N2605 +
N99 N2485 -
N99 N255 -
N100 N2392 +
N101 N133 -
N101 N1791 -
N102 N2010 +
N102 N3099 -
N103 N2410 +
N104 N2571 +
N105 N2323 +
N106 N8 +
N106 N3136 -
N107 N1880 +
N107 N674 +
N107 N1598 -
N108 N2697 +
N108 N3090 +
N108 N2044 +
N108 N1694 +
N108 N1223 +
N109 N268 +
N109 N654 +
N110 N2594 +
N110 N2324 +
N111 N3336 -
N111 N371 +
N111 N1589 -
N112 N2385 +
N112 N139 +
N113 N1522 +
N113 N299 -
N113 N2692 -
N114 N2884 +
N114 N1590 +
N115 N587 -
N117 N444 +
N118 N2297 +
N118 N2191 -
N121 N20 +
N121 N1102 -
N121 N318 +
N121 N551 +
N122 N894 +
N123 N3312 -
N123 N1745 +
N123 N2938 -
N123 N659 +
N123 N316 +
N124 N1603 +
N125 N0 +
N125 N2581 -
N126 N2304 +
N127 N456 -
N127 N1946 -
N127 N2699 -
N127 N2869 +
N127 N1943 -
N128 N3032 +
N128 N1902 +
N129 N3113 +
N130 N1400 +
N131 N2656 +
N131 N3160 -
N131 N2621 +
N132 N74 -
N133 N225 -
N133 N2517 +
N134 N2880 +
N134 N881 +
N134 N37 +
N134 N431 -
N135 N527 -
N136 N2116 +
N136 N828 -
N138 N2551 +
N138 N1135 -
N139 N1107 +
N140 N877 +
N140 N2750 -
N140 N2813 +
N141 N1814 -
N142 N2507 +
N143 N1217 +
N143 N1257 +
N144 N155 -
N144 N1860 +
N145 N186 +
N145 N3142 +
N146 N1649 +
N146 N1532 +
N146 N1967 +
N147 N248 +
N147 N1631 +
N149 N1168 +
N150 N192 +
N150 N1544 +
N151 N314 -
N151 N1307 +
N151 N2916 +
N151 N1550 -
N152 N1392 +
N152 N1852 -
N152 N3279 -
N154 N1328 -
N154 N1489 -
N154 N1341 +
N155 N2971 -
N156 N342 +
N156 N214 +
N156 N439 -
N157 N3256 +
N157 N1756 +
N158 N2352 +
N158 N2061 -
N158 N2213 -
N159 N3060 -
N159 N582 +
N161 N1632 -
N161 N2322 -
N161 N2301 -
N162 N2216 -
N163 N464 +
N163 N3015 -
N165 N1472 +
N165 N2079 -
N167 N181 -
N167 N1622 -
N168 N242 -
N169 N1026 +
N170 N442 -
N170 N1406 +
N170 N622 -
N171 N1305 -
N171 N853 -
N171 N1158 -
N172 N1387 -
N173 N973 -
N174 N3189 +
N175 N2537 +
N175 N1187 +
N175 N1438 +
N176 N346 +
N177 N1185 +
N177 N1969 -
N178 N3213 +
N178 N1806 +
N178 N1175 -
N179 N2936 -
N179 N1093 -
N179 N1823 -
N180 N2562 +
N180 N2814 +
N181 N169 +
N182 N2571 -
