source target
YLR429W YBR234C
YLR429W YLR196W
YPL150W YJL106W
YPL150W YLR248W
YPL150W YMR001C
YPL150W YPL153C
YPL150W YGR092W
YPL150W YHR082C
YPL150W YHR079C
YCR088W YDR388W
YCR088W YHR016C
YCR088W YBL007C
YJL176C YNL216W
YCR072C YNL182C
YHR001W YKR003W
YNL112W YGL120C
YDR225W YNL030W
YDR225W YBL003C
YDR225W YDR224C
YDR225W YOL012C
YDR225W YNL031C
YDR225W YBL002W
YOL005C YOR210W
YOL005C YIL021W
YOL005C YOR151C
YOL005C YOR224C
YOL005C YDL140C
YPR161C YIL095W
YBL103C YOL067C
YGL043W YOR151C
YGL043W YDL140C
YGL043W YGL070C
YGL043W YBR154C
YJL056C YHL027W
YIL147C YDL235C
YOR089C YOR370C
YOR089C YNL093W
YOR089C YNL090W
YOR089C YER136W
YOR089C YKR014C
YDR477W YHR205W
YDR477W YGR092W
YDR477W YKL139W
YDR477W YMR104C
YDR477W YER129W
YDR477W YGL158W
YJL204C YDR328C
YMR186W YPL240C
YMR186W YNL281W
YMR186W YDR214W
YNL154C YNR047W
YNL154C YKL168C
YNL154C YMR291W
YNL154C YNL020C
YNL154C YHR082C
YNL154C YHR135C
YNL154C YBL105C
YDR507C YBR160W
YDR507C YCL024W
YDR507C YMR139W
YDR507C YKL048C
YMR303C YOL086C
YGR204W YBR084W
YDL028C YMR001C
YDL028C YAR019C
YJL141C YJL095W
YJL141C YJR059W
YJL141C YJL164C
YJL141C YPL203W
YPR106W YPL031C
YER012W YFR050C
YER012W YGR253C
YER012W YER094C
YER012W YOR362C
YER012W YMR314W
YER012W YGL011C
YER012W YPR103W
YER012W YOR157C
YER012W YML092C
YER012W YBL041W
YER012W YGR135W
YER012W YJL001W
YER012W YOL038W
YDR214W YPL240C
YDR214W YNL281W
YDR214W YMR186W
YHR178W YGL013C
YCR102C YNL134C
YER114C YBR200W
YER114C YER118C
YER013W YKR024C
YER013W YKR086W
YNL020C YNL154C
YKR014C YOR370C
YKR014C YNL093W
YKR014C YER136W
YKR014C YOR089C
YGL070C YOR116C
YGL070C YOR151C
YGL070C YGL043W
YGL070C YDL140C
YJL069C YDR324C
YJL069C YLR222C
YJL069C YCR057C
YJL069C YMR093W
YJL069C YLR129W
YJL069C YPL126W
YHR114W YMR109W
YHR114W YKL129C
YHR114W YBL007C
YBL003C YNL030W
YBL003C YDR224C
YBL003C YOL012C
YBL003C YNL031C
YBL003C YBL002W
YBL003C YDR225W
YOR346W YDR419W
YPR010C YOR341W
YPR010C YPR187W
YPR010C YOR210W
YPR010C YOR224C
YPR010C YOR151C
YER029C YLR438C-A
YER029C YLR147C
YER029C YER112W
YER029C YDR378C
YER029C YGR074W
YER029C YOR159C
YER029C YFL017W-A
YER029C YBL026W
YER029C YNL147W
YER029C YLR275W
YER029C YPR182W
YLR248W YLR113W
YLR248W YPL150W
YLR248W YPL153C
YLR248W YNR047W
YLR248W YKL168C
YFL005W YOR370C
YFL005W YER136W
YFL005W YFL038C
YMR038C YJR104C
YLR398C YMR290C
YLR398C YBR142W
YMR109W YHR114W
YMR109W YDR388W
YMR109W YER118C
YMR109W YKL129C
YMR109W YJL020C
YHR016C YDR388W
YHR016C YCR088W
YHR016C YFR024C-A
YHR016C YBL007C
YOR133W YPR080W
YPL089C YBR182C
YLR362W YOL016C
YLR362W YDL159W
YLR362W YBL016W
YLR362W YIL035C
YLR362W YHL007C
YLR362W YJR059W
YLR362W YGR040W
YLR362W YNL298W
YLR362W YJL128C
YKL168C YLR248W
YKL168C YAL017W
YKL168C YHR082C
YKL168C YNL307C
YKL168C YNL154C
YKL168C YHR079C
YKL168C YJL106W
YKL168C YJL095W
YKL168C YGR092W
YKL168C YJR059W
YLR249W YPL082C
YER095W YDR004W
YPL218W YPR181C
YPL218W YIL109C
YFL008W YJL074C
YFL008W YDL003W
YFL008W YNL250W
YFL008W YFR031C
YMR322C YDR533C
YBR150C YOL089C
YLR080W YFL048C
YBR175W YAR003W
YBR175W YKL018W
YLR206W YOL111C
YKR025W YOR116C
YKR025W YDR045C
YKR025W YOR210W
YKR025W YOR224C
YKR025W YOR207C
YHR098C YPR181C
YHR098C YIL109C
YMR314W YFR050C
YMR314W YGR253C
YMR314W YER094C
YMR314W YOR362C
YMR314W YGL011C
YMR314W YPR103W
YMR314W YOR157C
YMR314W YML092C
YMR314W YER012W
YMR314W YBL041W
YMR314W YGR135W
YMR314W YJL001W
YMR314W YOL038W
YDL113C YJL036W
YOR180C YLR284C
YKL126W YDR490C
YKL126W YMR104C
YFL029C YDL108W
YFL029C YBR160W
YFL029C YPR054W
YFL029C YKL139W
YOR267C YAR019C
YER094C YFR050C
YER094C YGR253C
YER094C YOR362C
YER094C YMR314W
YER094C YGL011C
YER094C YPR103W
YER094C YOR157C
YER094C YML092C
YER094C YER012W
YER094C YBL041W
YER094C YGR135W
YER094C YJL001W
YER094C YOL038W
YNL307C YNR047W
YNL307C YKL168C
YNL307C YAR019C
YNL307C YFR014C
YDR378C YLR438C-A
YDR378C YLR147C
YDR378C YJL124C
YDR378C YER112W
YDR378C YER146W
YDR378C YBL026W
YDR378C YNL147W
YDR378C YLR275W
YDR378C YER029C
YGR180C YJL026W
YPR080W YAL003W
YPR080W YOR133W
YFL017W-A YLR147C
YFL017W-A YLR275W
YFL017W-A YER112W
YFL017W-A YER029C
YFL017W-A YGR074W
YFL017W-A YER146W
YFL017W-A YOR159C
YBL005W YGL013C
YJR121W YBL099W
YJR121W YDL185W
YMR093W YER082C
YMR093W YPL126W
YMR093W YJL069C
YMR093W YLL011W
YMR093W YLR222C
YMR093W YDR324C
YMR093W YCR057C
YMR093W YMR049C
YMR093W YBR281C
YMR093W YLR129W
YER118C YMR109W
YER118C YMR032W
YER118C YER114C
YJR048W YKR066C
YAL029C YGL106W
YAL029C YBR109C
YMR280C YJL089W
YNL090W YOR089C
YLR316C YJL035C
YPR187W YOR341W
YPR187W YOR116C
YPR187W YPR010C
YPR187W YOR151C
YPR187W YDR404C
YPR187W YDL140C
YPR187W YOR207C
YMR043W YDR451C
